bird_id,scientific,xc_id,recordist,license,page,length,quality,country,file
herring_gull,Larus argentatus,436943,Joost van Bruggen,https://creativecommons.org/licenses/by-sa/4.0/,https://xeno-canto.org/436943,43,A,Netherlands,sounds/birds/herring_gull/herring_gull_XC436943.mp3
common_gull,Larus canus,898207,Jochem verweij,https://creativecommons.org/licenses/by-sa/4.0/,https://xeno-canto.org/898207,17,A,Sweden,sounds/birds/common_gull/common_gull_XC898207.mp3
common_tern,Sterna hirundo,898659,Jochem verweij,https://creativecommons.org/licenses/by-sa/4.0/,https://xeno-canto.org/898659,16,B,Sweden,sounds/birds/common_tern/common_tern_XC898659.mp3
mute_swan,Cygnus olor,434964,Joost van Bruggen,https://creativecommons.org/licenses/by-sa/4.0/,https://xeno-canto.org/434964,23,A,Netherlands,sounds/birds/mute_swan/mute_swan_XC434964.mp3
mallard,Anas platyrhynchos,112828,Jonathon Jongsma,https://creativecommons.org/licenses/by-sa/3.0/,https://xeno-canto.org/112828,16,B,United States,sounds/birds/mallard/mallard_XC112828.mp3
greylag_goose,Anser anser,436358,Joost van Bruggen,https://creativecommons.org/licenses/by-sa/4.0/,https://xeno-canto.org/436358,40,B,Netherlands,sounds/birds/greylag_goose/greylag_goose_XC436358.mp3
great_cormorant,Phalacrocorax carbo,367008,jeremybarker,https://creativecommons.org/publicdomain/zero/1.0/,https://www.inaturalist.org/observations/108097119,21,A,Germany,sounds/birds/great_cormorant/great_cormorant_IN367008.wav
grey_heron,Ardea cinerea,610467,Jens Loose,https://creativecommons.org/licenses/by-sa/4.0/,https://xeno-canto.org/610467,47,A,Germany,sounds/birds/grey_heron/grey_heron_XC610467.mp3
northern_lapwing,Vanellus vanellus,902884,Jochem verweij,https://creativecommons.org/licenses/by-sa/4.0/,https://xeno-canto.org/902884,43,A,Sweden,sounds/birds/northern_lapwing/northern_lapwing_XC902884.mp3
common_snipe,Gallinago gallinago,898040,Jochem verweij,https://creativecommons.org/licenses/by-sa/4.0/,https://xeno-canto.org/898040,39,D,Sweden,sounds/birds/common_snipe/common_snipe_XC898040.mp3
white_tailed_eagle,Haliaeetus albicilla,803125,emilvus,https://creativecommons.org/licenses/by/4.0/,https://www.inaturalist.org/observations/180952096,26,A,Germany,sounds/birds/white_tailed_eagle/white_tailed_eagle_IN803125.wav
osprey,Pandion haliaetus,1090078,Samuel Ortion,https://creativecommons.org/licenses/by-sa/4.0/,https://xeno-canto.org/1090078,15,C,France,sounds/birds/osprey/osprey_XC1090078.mp3
common_buzzard,Buteo buteo,538277,Benoît Van Hecke,https://creativecommons.org/licenses/by-sa/4.0/,https://xeno-canto.org/538277,61,B,France,sounds/birds/common_buzzard/common_buzzard_XC538277.mp3
common_kestrel,Falco tinnunculus,468409,Marie-Lan Taÿ Pamart,https://creativecommons.org/licenses/by-sa/4.0/,https://xeno-canto.org/468409,30,A,France,sounds/birds/common_kestrel/common_kestrel_XC468409.mp3
