cue,bird_id,kind,source_file,processed_file,source_xc_id,license,recordist,page,source_duration_s,processed_duration_s,trim_start_s
bird.herring_gull.call,herring_gull,call,sounds/birds/herring_gull/herring_gull_XC436943.mp3,/Users/artjomkurapov/git/rebel-reval/sounds/birds/herring_gull/call.mp3,436943,https://creativecommons.org/licenses/by-sa/4.0/,Joost van Bruggen,https://xeno-canto.org/436943,43.332,43.331995,0.0
bird.common_gull.call,common_gull,call,sounds/birds/common_gull/common_gull_XC898207.mp3,/Users/artjomkurapov/git/rebel-reval/sounds/birds/common_gull/call.mp3,898207,https://creativecommons.org/licenses/by-sa/4.0/,Jochem verweij,https://xeno-canto.org/898207,17.058458,17.059025,0.0
bird.common_tern.call,common_tern,call,sounds/birds/common_tern/common_tern_XC898659.mp3,/Users/artjomkurapov/git/rebel-reval/sounds/birds/common_tern/call.mp3,898659,https://creativecommons.org/licenses/by-sa/4.0/,Jochem verweij,https://xeno-canto.org/898659,16.023469,16.022993,0.0
bird.mute_swan.call,mute_swan,call,sounds/birds/mute_swan/mute_swan_XC434964.mp3,/Users/artjomkurapov/git/rebel-reval/sounds/birds/mute_swan/call.mp3,434964,https://creativecommons.org/licenses/by-sa/4.0/,Joost van Bruggen,https://xeno-canto.org/434964,22.992,22.991995,0.0
bird.mallard.call,mallard,call,sounds/birds/mallard/mallard_XC112828.mp3,/Users/artjomkurapov/git/rebel-reval/sounds/birds/mallard/call.mp3,112828,https://creativecommons.org/licenses/by-sa/3.0/,Jonathon Jongsma,https://xeno-canto.org/112828,16.861875,16.822857,0.0
bird.greylag_goose.call,greylag_goose,call,sounds/birds/greylag_goose/greylag_goose_XC436358.mp3,/Users/artjomkurapov/git/rebel-reval/sounds/birds/greylag_goose/call.mp3,436358,https://creativecommons.org/licenses/by-sa/4.0/,Joost van Bruggen,https://xeno-canto.org/436358,40.417,40.417007,0.0
bird.great_cormorant.call,great_cormorant,call,sounds/birds/great_cormorant/great_cormorant_MR122b01.mp3,/Users/artjomkurapov/git/rebel-reval/sounds/birds/great_cormorant/call.mp3,122b01,https://creativecommons.org/publicdomain/zero/1.0/,project maintainer,tools/audio/generate_gap_bird_clips.py,24.0,24.0,0.0
bird.grey_heron.call,grey_heron,call,sounds/birds/grey_heron/grey_heron_XC610467.mp3,/Users/artjomkurapov/git/rebel-reval/sounds/birds/grey_heron/call.mp3,610467,https://creativecommons.org/licenses/by-sa/4.0/,Jens Loose,https://xeno-canto.org/610467,47.88,47.88,0.0
bird.northern_lapwing.call,northern_lapwing,call,sounds/birds/northern_lapwing/northern_lapwing_XC902884.mp3,/Users/artjomkurapov/git/rebel-reval/sounds/birds/northern_lapwing/call.mp3,902884,https://creativecommons.org/licenses/by-sa/4.0/,Jochem verweij,https://xeno-canto.org/902884,42.997551,42.997551,0.0
bird.common_snipe.call,common_snipe,call,sounds/birds/common_snipe/common_snipe_XC898040.mp3,/Users/artjomkurapov/git/rebel-reval/sounds/birds/common_snipe/call.mp3,898040,https://creativecommons.org/licenses/by-sa/4.0/,Jochem verweij,https://xeno-canto.org/898040,38.931293,38.930998,0.0
bird.white_tailed_eagle.call,white_tailed_eagle,call,sounds/birds/white_tailed_eagle/white_tailed_eagle_MR122b02.mp3,/Users/artjomkurapov/git/rebel-reval/sounds/birds/white_tailed_eagle/call.mp3,122b02,https://creativecommons.org/publicdomain/zero/1.0/,project maintainer,tools/audio/generate_gap_bird_clips.py,21.0,21.0,0.0
bird.osprey.call,osprey,call,sounds/birds/osprey/osprey_XC1090078.mp3,/Users/artjomkurapov/git/rebel-reval/sounds/birds/osprey/call.mp3,1090078,https://creativecommons.org/licenses/by-sa/4.0/,Samuel Ortion,https://xeno-canto.org/1090078,15.0,15.0,0.0
bird.common_buzzard.call,common_buzzard,call,sounds/birds/common_buzzard/common_buzzard_XC538277.mp3,/Users/artjomkurapov/git/rebel-reval/sounds/birds/common_buzzard/call.mp3,538277,https://creativecommons.org/licenses/by-sa/4.0/,Benoît Van Hecke,https://xeno-canto.org/538277,61.807166,61.807007,0.0
bird.common_kestrel.call,common_kestrel,call,sounds/birds/common_kestrel/common_kestrel_XC468409.mp3,/Users/artjomkurapov/git/rebel-reval/sounds/birds/common_kestrel/call.mp3,468409,https://creativecommons.org/licenses/by-sa/4.0/,Marie-Lan Taÿ Pamart,https://xeno-canto.org/468409,30.567075,30.567007,0.0
bird.tawny_owl.call,tawny_owl,call,sounds/birds/tawny_owl/tawny_owl_XC457399.mp3,/Users/artjomkurapov/git/rebel-reval/sounds/birds/tawny_owl/call.mp3,457399,https://creativecommons.org/licenses/by-sa/4.0/,Hannu Varkki,https://xeno-canto.org/457399,41.70415,41.703991,0.0
bird.house_sparrow.call,house_sparrow,call,sounds/birds/house_sparrow/house_sparrow_XC771298.mp3,/Users/artjomkurapov/git/rebel-reval/sounds/birds/house_sparrow/call.mp3,771298,https://creativecommons.org/licenses/by-sa/4.0/,Max Karlsson,https://xeno-canto.org/771298,21.432018,21.431995,0.0
bird.hooded_crow.call,hooded_crow,call,sounds/birds/hooded_crow/hooded_crow_XC901768.mp3,/Users/artjomkurapov/git/rebel-reval/sounds/birds/hooded_crow/call.mp3,901768,https://creativecommons.org/licenses/by-sa/4.0/,Jochem verweij,https://xeno-canto.org/901768,28.015692,28.015692,0.0
bird.rook.call,rook,call,sounds/birds/rook/rook_XC1148742.mp3,/Users/artjomkurapov/git/rebel-reval/sounds/birds/rook/call.mp3,1148742,https://creativecommons.org/licenses/by-sa/4.0/,steve,https://xeno-canto.org/1148742,16.391701,16.391701,0.0
bird.western_jackdaw.call,western_jackdaw,call,sounds/birds/western_jackdaw/western_jackdaw_XC842238.mp3,/Users/artjomkurapov/git/rebel-reval/sounds/birds/western_jackdaw/call.mp3,842238,https://creativecommons.org/licenses/by-sa/4.0/,hex0,https://xeno-canto.org/842238,25.12,25.12,0.0
bird.eurasian_magpie.call,eurasian_magpie,call,sounds/birds/eurasian_magpie/eurasian_magpie_XC475651.mp3,/Users/artjomkurapov/git/rebel-reval/sounds/birds/eurasian_magpie/call.mp3,475651,https://creativecommons.org/licenses/by-sa/4.0/,Marie-Lan Taÿ Pamart,https://xeno-canto.org/475651,72.250729,72.250726,0.0
bird.barn_swallow.song,barn_swallow,song,sounds/birds/barn_swallow/barn_swallow_XC492100.mp3,/Users/artjomkurapov/git/rebel-reval/sounds/birds/barn_swallow/song.mp3,492100,https://creativecommons.org/licenses/by-sa/4.0/,Marie-Lan Taÿ Pamart,https://xeno-canto.org/492100,78.922396,78.921995,0.0
