insect_id,scientific,elu_id,recordist,license,source,length,country,common_en,file
acheta_domestica,Acheta domestica,19409150,Mari Druzhinina,https://creativecommons.org/licenses/by-sa/4.0/,https://s3.hpc.ut.ee/plutof-public/original/1dc006fc-0abd-469c-bdf4-8a19adc90bab.m4a,17,Estonia,,sounds/insects/acheta_domestica/acheta_domestica.mp3
acrididae,Acrididae,37025089,Katre Epler,https://creativecommons.org/licenses/by-sa/4.0/,https://s3.hpc.ut.ee/plutof-public/original/f4f89a72-754a-40ef-8511-213e861b32d6.m4a,15,Estonia,,sounds/insects/acrididae/acrididae.mp3
barbitistes_constrictus,Barbitistes constrictus,17582721,Veljo Runnel,https://creativecommons.org/licenses/by-sa/4.0/,https://s3.hpc.ut.ee/plutof-public/original/8e34245c-6a6c-474d-a96b-ebc149ffd802.m4a,40,Estonia,,sounds/insects/barbitistes_constrictus/barbitistes_constrictus.mp3
bicolorana_bicolor,Bicolorana bicolor,17577717,Veljo Runnel,https://creativecommons.org/licenses/by-sa/4.0/,https://s3.hpc.ut.ee/plutof-public/original/974b44b1-a773-4dba-afb5-56a701270bd8.m4a,14,Estonia,,sounds/insects/bicolorana_bicolor/bicolorana_bicolor.mp3
chorthippus_albomarginatus,Chorthippus albomarginatus,19358611,Mari Druzhinina,https://creativecommons.org/licenses/by-sa/4.0/,https://s3.hpc.ut.ee/plutof-public/original/62473336-b8c0-4030-8e88-cdcc99b39cac.m4a,12,Estonia,,sounds/insects/chorthippus_albomarginatus/chorthippus_albomarginatus.mp3
chorthippus_apricarius,Chorthippus apricarius,17127601,Veljo Runnel,https://creativecommons.org/licenses/by-sa/4.0/,https://s3.hpc.ut.ee/plutof-public/original/609bf943-9fb8-4086-bcf9-78be6e0baa61.m4a,14,Estonia,,sounds/insects/chorthippus_apricarius/chorthippus_apricarius.mp3
chorthippus_biguttulus,Chorthippus biguttulus,18536903,Veljo Runnel,https://creativecommons.org/licenses/by-sa/4.0/,https://s3.hpc.ut.ee/plutof-public/original/604bb747-9a0c-4ef8-8fa9-e767d6fb182c.m4a,31,Estonia,,sounds/insects/chorthippus_biguttulus/chorthippus_biguttulus.mp3
chorthippus_brunneus,Chorthippus brunneus,17148472,Veljo Runnel,https://creativecommons.org/licenses/by-sa/4.0/,https://s3.hpc.ut.ee/plutof-public/original/b7d02285-8066-4793-b683-ef23a7a37b45.m4a,35,Estonia,,sounds/insects/chorthippus_brunneus/chorthippus_brunneus.mp3
chorthippus_dorsatus,Chorthippus dorsatus,17577664,Veljo Runnel,https://creativecommons.org/licenses/by-sa/4.0/,https://s3.hpc.ut.ee/plutof-public/original/b9b07296-fdd5-4b9e-af85-e8ca52a891bd.m4a,21,Estonia,,sounds/insects/chorthippus_dorsatus/chorthippus_dorsatus.mp3
chorthippus_mollis,Chorthippus mollis,30502205,Pelle Mellov,https://creativecommons.org/licenses/by-sa/4.0/,https://s3.hpc.ut.ee/plutof-public/original/ee1bcaa7-a4d9-429b-9e06-0512b15f3eb6.m4a,8,Estonia,,sounds/insects/chorthippus_mollis/chorthippus_mollis.mp3
chrysochraon_dispar,Chrysochraon dispar,17144793,Veljo Runnel,https://creativecommons.org/licenses/by-sa/4.0/,https://s3.hpc.ut.ee/plutof-public/original/a441cd34-e94a-40c8-a5b0-da8415031403.m4a,50,Estonia,,sounds/insects/chrysochraon_dispar/chrysochraon_dispar.mp3
conocephalus_dorsalis,Conocephalus dorsalis,17562655,Veljo Runnel,https://creativecommons.org/licenses/by-sa/4.0/,https://s3.hpc.ut.ee/plutof-public/original/54044018-acc7-4e27-8796-4aa73eb2e2cf.m4a,30,Estonia,Short-winged Cone-head,sounds/insects/conocephalus_dorsalis/conocephalus_dorsalis.mp3
conocephalus_fuscus,Conocephalus fuscus,30502227,Pelle Mellov,https://creativecommons.org/licenses/by-sa/4.0/,https://s3.hpc.ut.ee/plutof-public/original/6a0da221-11cd-46cd-bc42-48e14fb664a4.m4a,49,Estonia,,sounds/insects/conocephalus_fuscus/conocephalus_fuscus.mp3
decticus_verrucivorus,Decticus verrucivorus,18493618,Veljo Runnel,https://creativecommons.org/licenses/by-sa/4.0/,https://s3.hpc.ut.ee/plutof-public/original/c2669902-cc71-4f3e-9ce9-0acc5d7047c7.m4a,20,Estonia,,sounds/insects/decticus_verrucivorus/decticus_verrucivorus.mp3
euthystira_brachyptera,Euthystira brachyptera,16343697,Veljo Runnel,https://creativecommons.org/licenses/by-sa/4.0/,https://s3.hpc.ut.ee/plutof-public/original/b2756068-692e-4683-bd52-850285c777aa.m4a,13,Estonia,,sounds/insects/euthystira_brachyptera/euthystira_brachyptera.mp3
gryllotalpa_gryllotalpa,Gryllotalpa gryllotalpa,19406254,Marko Aid,https://creativecommons.org/licenses/by-sa/4.0/,https://s3.hpc.ut.ee/plutof-public/original/6ce006e0-944e-4e04-9f42-0fa724c9bb3a.m4a,48,Estonia,,sounds/insects/gryllotalpa_gryllotalpa/gryllotalpa_gryllotalpa.mp3
